text,created_at,polarity,sentiment
RT @desimojito: If the #ExitPolls figures are not true then my dog is Sanjay Jha https://t.co/9ybrOQ5VWP,2019-05-20 12:53:39,-0.175,negative
RT @desimojito: If the #ExitPolls figures are not true then my dog is Sanjay Jha https://t.co/9ybrOQ5VWP,2019-05-20 12:53:50,-0.175,negative
"RT @kamaalrkhan: Vivek oberoi is an insider of #BJP So if we read his meme About Aishwarya carefully, so he is saying that #BJP is going to…",2019-05-20 12:54:07,-0.1,negative
"RT @DaaruBaazMehta: MUST WATCH

AAP @raghav_chadha SLAMS #ExitPolls 

AAP Lok Sabha candidate, Raghav is confident of Winning the South Del…",2019-05-20 12:54:14,0.5,neutral
RT @desimojito: If the #ExitPolls figures are not true then my dog is Sanjay Jha https://t.co/9ybrOQ5VWP,2019-05-20 12:54:21,-0.175,negative
"RT @ShefVaidya: If #ExitPolls are right, 5 key takeaways
1. This is a POSITIVE vote 4 Modi, not a #TINA vote.
2. Priyanka drew crowds, not…",2019-05-20 12:54:21,0.170995670995671,negative
"RT @rahul_tverma: Lesson from Australia #ExitPolls 

1. Exit Polls can wrong in CLOSE contest, less likely in LANDSLIDES
2. Australia has a…",2019-05-20 12:54:23,-0.2222222222222222,negative
"#dkoding #ExitPolls
Exit polls are right or wrong - let's not go by the biased media houses for the exactness of #exitpoll2019
Vote👇",2019-05-20 12:54:24,-0.10714285714285715,negative
RT @JhaSanjay: If the #ExitPolls figures are true then my dog is a nuclear scientist.,2019-05-20 12:54:24,0.35,negative
"@imanojprabakar The reason behind the Modi favored 
#ExitPolls

Is that Rs 5000 Cr invested in Satta Market should… https://t.co/ZwYSaWaqjr",2019-05-20 12:55:08,0.2,negative
"RT @avinav_gahlot1: #RT if you agree.👇👇👇

""Mani Shankar Aiyar is lucky charm for #BJP .""
😭😭😂😂

#ExitPoll2019
#JeetegaToModiHi #ApnaModiAaye…",2019-05-20 12:55:12,0.3333333333333333,negative
If exit polls are true then you are Pig,2019-05-20 12:55:13,0.35,negative
RT @desimojito: If the #ExitPolls figures are not true then my dog is Sanjay Jha https://t.co/9ybrOQ5VWP,2019-05-20 12:55:14,-0.175,negative
"@JhaSanjay If Jha's #ExitPolls figures are true then my dog is a nuclear scientist.

https://t.co/ktv5EGJMu8",2019-05-20 12:55:23,0.35,negative
RT @desimojito: If the #ExitPolls figures are not true then my dog is Sanjay Jha https://t.co/9ybrOQ5VWP,2019-05-20 12:55:25,-0.175,negative
